listId,value,name,definition
CNL3162,79,DE_Hilfsmittelnummer,"The ""Hilfsmittelnummer"" (aid number) indicates an aid whose medical benefit has been proven. The number is assigned by the central associations of the health insurances and is, in most cases, necessary for a reimbursement by the sponsors. Medical devices will only receive an ""Hilfsmittelnummer"" (aid number) if their viability, safety, indication-related requirements and medical benefit have been proven by the manufacturer. In the aid directory of the statutory health insurance funds all aids with aid number are divided into categories and product groups and collected."
CNL3162,80,Valvira Packaging Code,"Valvira (Finnish National Supervisory Authority for Welfare and Health) classification of packaging for alcoholic products. https://www.valvira.fi/en/web/en/valvira
 Finnish: https://www.valvira.fi/documents/14444/0/tuoterekisteriohje.pdf/658d1652-e648-4ecf-86bc-07b6b3a9a699
 Swedish: https://www.valvira.fi/documents/14444/0/tuoterekisteriohje_sve.pdf/b11e69cd-0f97-4ad4-af4a-76c2cd87b8a4"
CNL3162,81,Valvira Product Category Code,"Valvira (Finnish National Supervisory Authority for Welfare and Health) classification for alcoholic products. https://www.valvira.fi/en/web/en/valvira
 Finnish: https://www.valvira.fi/documents/14444/0/tuoterekisteriohje.pdf/658d1652-e648-4ecf-86bc-07b6b3a9a699 
 Swedish: https://www.valvira.fi/documents/14444/0/tuoterekisteriohje_sve.pdf/b11e69cd-0f97-4ad4-af4a-76c2cd87b8a4"
CNL3162,82,Valvira Quality Class Code for wines,"Valvira (Finnish National Supervisory Authority for Welfare and Health) classification for wines. https://www.valvira.fi/en/web/en/valvira
 Finnish: https://www.valvira.fi/documents/14444/0/tuoterekisteriohje.pdf/658d1652-e648-4ecf-86bc-07b6b3a9a699 
 Swedish: https://www.valvira.fi/documents/14444/0/tuoterekisteriohje_sve.pdf/b11e69cd-0f97-4ad4-af4a-76c2cd87b8a4"
CNL3162,83,BNN,"Classification Key of the German ""Bundesverband Naturkost Naturwaren (BNN)"""
CNL3162,84,CEST,Brazilian Specification Code for Tax Substitution (CEST)
CNL3162,85,EU Directive (MDD/AIMDD/IVDD) Risk class,"The Medical Devices Directive (MDD 93/42/EEC), Active Implantable Medical Devices Directive (90/385/EEC) and In vitro Diagnostic Medical Devices Directive (IVDD 98/79/EC) risk class classification system is managed by the European Commission, the European Parliament and the Council of Ministers."
CNL3162,86,National Healthcare Security Administration (NHSA),China National Healthcare Security Administration.
CNL3162,87,National Medical Products Administration (NMPA),China National Medical Products Administration.
CNL3162,88,European Medical Device Nomenclature (EMDN),European Medical Device Nomenclature (EMDN)
CNL3162,89,COFEPRIS,"Mexican Federal Commission for the protection Against Sanitary Risks (COFEPRIS, Comisión Federal para la Protección contra Riesgos Sanitarios) classification."
CNL3102,ADMDM,Agence du Médicament de Madagascar,Agency du Médicament de Madagascar manages the market authorisation of healthcare products in Madagascar - MG
CNL3102,AE_MOHAP,Ministry of Health and Prevention (MOHAP),Ministry of Health and Prevention (MOHAP) manages the market authorisation of healthcare products in United Arab Emirates - AE.
CNL3102,AIG,Active Ingredient Number (by Health Canada),The Active Ingredient Group Number specifies the a number assigned by Health Canada in the Drug Product Database. The AIG number is a 10 digit number that identifies products that have the same active ingredient(s) and ingredient strength(s).
CNL3102,ANATEL,ANATEL,Brazil's Federal Telecommunications Agency
CNL3102,ANDA,FDA Abbreviated New Drug Application (ANDA) Number,An abbreviated new drug application (ANDA) contains data which is submitted to FDA for the review and potential approval of a generic drug product. https://www.fda.gov/drugs/types-applications/abbreviated-new-drug-application-anda
CNL3102,ANVISA,National Health Surveillance Agency (ANVISA),National Health Surveillance Agency (ANVISA) manages the market authorisation of healthcare products in Brazil - BR
CNL3102,ARFA,Agência de Regulação e Supervisão dos Produtos Farmacêuticos e Alimentares (ARFA),Agência de Regulação e Supervisão dos Produtos Farmacêuticos e Alimentares (ARFA) manages the market authorisation of healthcare products in Cape Verde - CV
CNL3102,ARTG_ID,Identification number in the Australian Register of Therapeutic Goods (ARTG),"The Australian Therapeutic Goods Administration (TGA) is a government organisation responsible for the regulation of therapeutic goods such as medicines and medical devices. Once a product is accepted for sale in Australia (via TGA approval) this item is listed on the Australian Register of Therapeutic Goods (ARTG). All goods within Australia, or to be exported from Australia, must be present on this list before they can be available. Information held in the database includes the name of the product, what it contains and manufacturer details."
CNL3102,AU_PROSTHESES_REBATE_CODE,Prostheses Rebate Code by the Australian Department of Health and Ageing (used for rebate request),"In Australia the federal government, through the Department of Health and Ageing, provide a rebate to private health hospitals or clinics to cover the cost of any prostheses that are fitted to a patient. This rebate is designed to cover the costs incurred by the provider. Every product is given a ‘billing code’ from the Department of Health and Ageing. This is used by the provider to communicate the rebate request to the government."
CNL3102,BE_FAMHP,Federal Agency for Medicines and Health Products (FAMHP),Federal Agency for Medicines and Health Products (FAMHP) manages the market authorisation of healthcare products in Belgium - BE.
CNL3102,BFR,Number of the German Federal Institute for Risk Assessment (BFR) in the field of consumer health protection,"The Federal Institute for Risk Assessment (BFR) in the field of consumer health protection. It is the scientific agency of the Federal Republic of Germany which is responsible for preparing expert reports and opinions on food and feed safety as well as on the safety of substances and products. In this context, the Institute plays an important role in improving consumer protection and food safety. BFR reports to the Federal Ministry of Food, Agriculture and Consumer Protection (BMELV).
 The BFR number is a so-called product identification element (PI element). The PI element consists of the five-digit BFR company code and a four-digit number allocated by the manufacturer itself. The number sequence ends with details of the hazard characteristics of the product (for instance, irritant, corrosive or toxic)."
CNL3102,BG_BDA,Bulgarian Drug Agency (BDA),Bulgarian Drug Agency (BDA) manages the market authorisation of healthcare products in Bulgaria - BG.
CNL3102,BNDA,Bahamas National Drug Agency (BNDA),Bahamas National Drug Agency (BNDA) manages the market authorisation of healthcare products in Bahamas - BS
CNL3102,BUYER_ASSIGNED,Attribué par l'acheteur,"A proprietary internal identification number assigned by a data recipient, used to identify trade items purchased from each trading partner with whom they engage in a commercial relationship."
CNL3102,BUYER_ASSIGNED_USED_BY_THIRD_PARTY,Buyer Assigned used by Third Party,"The proprietary number that is assigned by a third party buyer whose number is required by the data recipient in the trading relationship, that is used to identify trade items purchased from the supplier in addition to the GTIN. Example Identification number assigned by the buyer for use by a marketplace."
CNL3102,CDSCO,Central Drugs Standard Control Organization (CDSCO),Central Drugs Standard Control Organization (CDSCO) manages the market authorisation of healthcare products in India - IN
CNL3102,CL_ISP,Instituto de Salud Pública (ISP),Instituto de Salud Pública (ISP) manages the market authorisation of healthcare products in Chile - CL.
CNL3102,CM_LANACOME,Laboratoire National de Contrôle de Qualité des Médicaments et d’Expertise (LANACOME),Laboratoire National de Contrôle de Qualité des Médicaments et d’Expertise (LANACOME) ensure the quality control of drugs and other health products in Cameroon - CM.
CNL3102,DAV,Drug Administration of Vietnam (DAV),Drug Administration of Vietnam (DAV) manages the market authorisation of healthcare products in Viet Nam - VN
CNL3102,DDA_NP,Department of Drug Administration (DDA),Department of Drug Administration (DDA) manages the market authorisation of healthcare products in Nepal - NP
CNL3102,DDF_KH,Department of Drugs and Food (DDF),Department of Drugs and Food (DDF) manages the market authorisation of healthcare products in Cambodia - KH
CNL3102,DDSME,Department of Drug Supply and Medical Equipment,Department of Drug Supply and Medical Equipment manages the market authorisation of healthcare products in Kyrgyzstan - KG
CNL3102,DE_BFARM,Federal Institute for Drugs and Medical Devices (BfArM),Federal Institute for Drugs and Medical Devices (BfArM) manages the market authorisation of healthcare products in Germany - DE.
CNL3102,DGDA,Directorate General of Drug Administration (DGDA),Directorate General of Drug Administration (DGDA) manages the market authorisation of healthcare products in Bangladesh - BD
CNL3102,DGPML_BF,"Direction Générale de la Pharmacie, du Médicament et des Laboratoires (DGPML)","Direction Générale de la Pharmacie, du Médicament et des Laboratoires (DGPML) manages the market authorisation of healthcare products in Burkina Faso - BF"
CNL3102,DGPML_BJ,"Direction General of Pharmacy, Medicine and Pharmacy Laboratories (DGPML)","Direction General of Pharmacy, Medicine and Pharmacy Laboratories (DGPML) manages the market authorisation of healthcare products in Benin - BJ"
CNL3102,DGRS,Direccion General de Regulacion Sanitaria (DGRS),Direccion General de Regulacion Sanitaria (DGRS) manages the market authorisation of healthcare products in Honduras - HN
CNL3102,DIGEMID_MINSA,Dirección General de Medicamentos (DIGEMID-MINSA),Dirección General de Medicamentos (DIGEMID-MINSA) manages the market authorisation of healthcare products in Peru - PE
CNL3102,DIN,Canadian Drug Identification Number,The Drug Identification Number: The number located on the label of prescription and over-the-counter drug products that have been evaluated by the Therapeutic Products Directorate (TPD) and approved for sale in Canada.
CNL3102,DIN_HM,Canadian Drug Identification Number for Homeopathic drug products,Drug Identification Number – Homeopathic: This is the number located on the label of homeopathic drug products that have been approved for sale in Canada.
CNL3102,DISTRIBUTOR_ASSIGNED,Attribué par le distributeur,The additional Trade Item Identification value populated has been developed and assigned by an entity which purchases and takes title to goods which are then resold / redistributed elsewhere.
CNL3102,DLP,Direction des Laboratoires et des Pharmacies,Direction des Laboratoires et des Pharmacies manages the market authorisation of healthcare products in Comoros - KM
CNL3102,DNM_SV,Dirección Nacional de Medicamentos (DNM),Dirección Nacional de Medicamentos (DNM) manages the market authorisation of healthcare products in El Salvador - SV
CNL3102,DNPL,Direction Nationale de la Pharmacie et du Laboratoire,Direction Nationale de la Pharmacie et du Laboratoire manages the market authorisation of healthcare products in Guinea - GN
CNL3102,DPL,Direction de la Pharmacie et des Laboratoires,Direction de la Pharmacie et des Laboratoires manages the market authorisation of healthcare products in Senegal - SN
CNL3102,DPLMT,Direction des Dervices Pharmaceutiques des Laboratoires et de la Médecine Traditionnelle,Direction des services Pharmaceutiques des laboratoires et de la Médecine Traditionnelle manages the market authorisation of healthcare products in Central African Republic - CF
CNL3102,DPM_CD,Direction de la Pharmacie et du Médicament DPM Democratic Republic of Congo,"Direction de la Pharmacie et du Médicament (DPM) manages the market authorisation of healthcare products in Congo, Democratic Republic of - CD"
CNL3102,DPM_CI,Direction de la Pharmacie et du Médicament DPM Côte d'Ivoire,Direction de la Pharmacie et du Médicament (DPM) manages the market authorisation of healthcare products in Côte d'Ivoire - CI
CNL3102,DPM_ML,Direction de la Pharmacie et du Médicament,Direction de la Pharmacie et du Médicament manages the market authorisation of healthcare products in Mali - ML
CNL3102,DPML,"Direction de la Pharmacie, du Médicament et des Laboratoires (DPML)","Direction de la Pharmacie, du Médicament et des Laboratoires (DPML) manages the market authorisation of healthcare products in Cameroon - CM"
CNL3102,DPMLMOH,"Department of Pharmacy, Medicines and Laboratory, Ministry of Health","Department of Pharmacy, Medicines and Laboratory, Ministry of Health manages the market authorisation of healthcare products in Burundi - BI"
CNL3102,DRA_BT,Drug Regulatory Authority (DRA),Drug Regulatory Authority (DRA) manages the market authorisation of healthcare products in Bhutan - BT
CNL3102,DRAP,Drug Regulatory Authority of Pakistan (DRAP),Drug Regulatory Authority of Pakistan (DRAP) manages the market authorisation of healthcare products in Pakistan - PK
CNL3102,DTAMOH,Directorate of Technical Affairs in the Ministry of Health,Directorate of Technical Affairs in the Ministry of Health manages the market authorisation of healthcare products in Iraq - IQ
CNL3102,EC_ANRCVS,"Agencia Nacional de Regulación, Control, y Vigilancia Sanitaria (ANRCVS)","Agencia Nacional de Regulación, Control, y Vigilancia Sanitaria (ANRCVS) manages the market authorisation of healthcare products in Ecuador - EC."
CNL3102,EDA,Egyptian Drug Authority (EDA),Egyptian Drug Authority (EDA) manages the market authorisation of healthcare products in Egypt - EG
CNL3102,EPD,"Item number in the 'Electronisk Produkt Database', Tradesolution AS",Electronisk Produkt Database Identifier:
CNL3102,EUDAMED,EUDAMED Device Identifier,EUDAMED Device Identifier
CNL3102,EU_MEDICAL_PRODUCT_NUMBER,EU Medical Product Number,"The European Commission for Public Health has procedures for centrally authorised medical products, and holds community registers for: - medical products for human use (regulation (EC) 726/2004) - orphan medical products for human use (regulation (EC) N141/2000) - veterinary medical products (regulation (EE) 726/2004)."
CNL3102,FDA_MEDICAL_DEVICE_LISTING,FDA Medical Device Listing (USA),Most Owners or operators of places of business (also called establishments or facilities) that are involved in the production and distribution of medical devices intended for use in the United States (U.S.) are required to list the devices that are made at their facility and the activities that are performed on those devices. Registration and listing provides FDA with the location of medical device establishments and the devices manufactured at those establishments. Knowing where devices are made increases the nation’s ability to prepare for and respond to public health emergencies.
CNL3102,FDA_MM,Food and Drug Administration (FDA) Myanmar,Food and Drug Administration (FDA) manages the market authorisation of healthcare products in Myanmar - MM
CNL3102,FDA_NDC_10,10-digit National Drug Code of the USA,"The National Drug Code of the United States of America is a unique 10-digit, 3-segment number assigned to each medication listed under Section 510 of the U.S. Federal Food, Drug, and Cosmetic Act. The number identifies the labeller or vendor, product, and trade package size."
CNL3102,FDA_NDC_11,11-digit National Drug Code of the USA,"The National Drug Code of the United States of America is a unique 11-digit, 3-segment number assigned to each medication listed under Section 510 of the U.S. Federal Food, Drug, and Cosmetic Act. The number identifies the labeller or vendor, product, and trade package size."
CNL3102,FDA_PH,Food and Drug Administration (FDA) Philippines,Food and Drug Administration (FDA) manages the market authorisation of healthcare products in Philippines - PH
CNL3102,FDA_PRODUCT_CODE,FDA Product Code (USA),"The FDA Product Code describes a product or a group of products. It is a seven-character alphanumeric string composed of five components, the Product Industry Code, the Class Code, the Subclass Code, the Process Indicator Code, and the Group Code. For more in-depth information about the FDA Product Code, see Lessons 1, 3 and 4 of the FDA Office of Regulatory Affairs (ORA) Product Code Builder Tutorial (http://www.accessdata.fda.gov/scripts/ora/pcb/tutorial/tutorial.cfm)."
CNL3102,FDA_TH,Thai Food and Drug Administration (Thai FDA),Thai Food and Drug Administration (Thai FDA) manages the market authorisation of healthcare products in Thailand - TH
CNL3102,FDB,Food and Drugs Board (FDB),Food and Drugs Board (FDB) manages the market authorisation of healthcare products in Ghana - GH
CNL3102,FDD,Food and Drug Department,Food and Drug Department manages the market authorisation of healthcare products in Lao People’s Democratic Republic - LA
CNL3102,FMHACA_ET,"Food, Medicine and Health Care Administration and Control of Ethiopia (FMHACA)","Food, Medicine and Health Care Administration and Control of Ethiopia (FMHACA) manages the market authorisation of healthcare products in Ethiopia - ET"
CNL3102,FOR_INTERNAL_USE_1,Pour usage interne 1,Identification used for internal mapping purposes.
CNL3102,FOR_INTERNAL_USE_10,Pour usage interne 10,Identification used for internal mapping purposes.
