Brick Code,Class Code,Family Code,Segment Code,Brick Description,Class Description,Family Description,Segment Description
10006312,50201700,50200000,50000000,Coffee Substitutes – Ready to Drink,Coffee/Tea/Substitutes,Beverages,Food/Beverage/Tobacco
10006310,50201700,50200000,50000000,Coffee Substitutes – Regular(Non-Instant),Coffee/Tea/Substitutes,Beverages,Food/Beverage/Tobacco
10000592,50201700,50200000,50000000,Coffee/Tea/Substitutes Variety Packs,Coffee/Tea/Substitutes,Beverages,Food/Beverage/Tobacco
10000119,50201700,50200000,50000000,Fruit Herbal Infusions – Bags/Loose,Coffee/Tea/Substitutes,Beverages,Food/Beverage/Tobacco
10000210,50201700,50200000,50000000,Fruit Herbal Infusions – Instant,Coffee/Tea/Substitutes,Beverages,Food/Beverage/Tobacco
10000313,50201700,50200000,50000000,Fruit Herbal Infusions – Ready to Drink,Coffee/Tea/Substitutes,Beverages,Food/Beverage/Tobacco
10000116,50201700,50200000,50000000,Tea – Bags/Loose,Coffee/Tea/Substitutes,Beverages,Food/Beverage/Tobacco
10000117,50201700,50200000,50000000,Tea – Instant,Coffee/Tea/Substitutes,Beverages,Food/Beverage/Tobacco
10000118,50201700,50200000,50000000,Tea – Ready to Drink,Coffee/Tea/Substitutes,Beverages,Food/Beverage/Tobacco
10000178,50202400,50200000,50000000,Chocolate/Cocoa/Malt – Not Ready to Drink,Non Alcoholic Beverages – Not Ready to Drink,Beverages,Food/Beverage/Tobacco
10000310,50202400,50200000,50000000,Dairy Based Drinks – Not Ready to Drink (Shelf Stable),Non Alcoholic Beverages – Not Ready to Drink,Beverages,Food/Beverage/Tobacco
10006974,50202400,50200000,50000000,Dairy Substitute Based Drinks - Not Ready to Drink (Shelf Stable),Non Alcoholic Beverages – Not Ready to Drink,Beverages,Food/Beverage/Tobacco
10000202,50202400,50200000,50000000,Drinks Flavoured – Not Ready to Drink,Non Alcoholic Beverages – Not Ready to Drink,Beverages,Food/Beverage/Tobacco
10000307,50202400,50200000,50000000,Fruit Juice – Not Ready to Drink (Frozen),Non Alcoholic Beverages – Not Ready to Drink,Beverages,Food/Beverage/Tobacco
10000308,50202400,50200000,50000000,Fruit Juice – Not Ready to Drink (Shelf Stable),Non Alcoholic Beverages – Not Ready to Drink,Beverages,Food/Beverage/Tobacco
10000309,50202400,50200000,50000000,Fruit Juice Drinks – Not Ready to Drink (Shelf Stable),Non Alcoholic Beverages – Not Ready to Drink,Beverages,Food/Beverage/Tobacco
10000593,50202400,50200000,50000000,Non Alcoholic Beverages Variety Packs – Not Ready to Drink,Non Alcoholic Beverages – Not Ready to Drink,Beverages,Food/Beverage/Tobacco
10000264,50202400,50200000,50000000,Sports Drinks – Rehydration (Not Ready to Drink),Non Alcoholic Beverages – Not Ready to Drink,Beverages,Food/Beverage/Tobacco
10000311,50202400,50200000,50000000,Stimulants/Energy Drinks – Not Ready to Drink,Non Alcoholic Beverages – Not Ready to Drink,Beverages,Food/Beverage/Tobacco
10006253,50202400,50200000,50000000,Vegetable Juice – Not Ready to Drink (Frozen),Non Alcoholic Beverages – Not Ready to Drink,Beverages,Food/Beverage/Tobacco
10006254,50202400,50200000,50000000,Vegetable Juice – Not Ready to Drink (Shelf Stable),Non Alcoholic Beverages – Not Ready to Drink,Beverages,Food/Beverage/Tobacco
10006257,50202400,50200000,50000000,Vegetable Juice Drinks – Not Ready to Drink (Shelf Stable),Non Alcoholic Beverages – Not Ready to Drink,Beverages,Food/Beverage/Tobacco
10000179,50202300,50200000,50000000,Chocolate/Cocoa/Malt – Ready to Drink,Non Alcoholic Beverages – Ready to Drink,Beverages,Food/Beverage/Tobacco
10000191,50202300,50200000,50000000,Dairy Based Drinks – Ready to Drink (Perishable),Non Alcoholic Beverages – Ready to Drink,Beverages,Food/Beverage/Tobacco
10000192,50202300,50200000,50000000,Dairy Based Drinks – Ready to Drink (Shelf Stable),Non Alcoholic Beverages – Ready to Drink,Beverages,Food/Beverage/Tobacco
10006972,50202300,50200000,50000000,Dairy Substitute Based Drinks – Ready to Drink (Perishable),Non Alcoholic Beverages – Ready to Drink,Beverages,Food/Beverage/Tobacco
10006973,50202300,50200000,50000000,Dairy Substitute Based Drinks - Ready to Drink (Shelf Stable),Non Alcoholic Beverages – Ready to Drink,Beverages,Food/Beverage/Tobacco
10000201,50202300,50200000,50000000,Drinks Flavoured – Ready to Drink,Non Alcoholic Beverages – Ready to Drink,Beverages,Food/Beverage/Tobacco
10000219,50202300,50200000,50000000,Fruit Juice – Ready to Drink (Perishable),Non Alcoholic Beverages – Ready to Drink,Beverages,Food/Beverage/Tobacco
10000220,50202300,50200000,50000000,Fruit Juice – Ready to Drink (Shelf Stable),Non Alcoholic Beverages – Ready to Drink,Beverages,Food/Beverage/Tobacco
10000222,50202300,50200000,50000000,Fruit Juice Drinks – Ready to Drink (Perishable),Non Alcoholic Beverages – Ready to Drink,Beverages,Food/Beverage/Tobacco
10000223,50202300,50200000,50000000,Fruit Juice Drinks – Ready to Drink (Shelf Stable),Non Alcoholic Beverages – Ready to Drink,Beverages,Food/Beverage/Tobacco
10000214,50202300,50200000,50000000,Ice,Non Alcoholic Beverages – Ready to Drink,Beverages,Food/Beverage/Tobacco
10000594,50202300,50200000,50000000,Non Alcoholic Beverages Variety Packs – Ready to Drink,Non Alcoholic Beverages – Ready to Drink,Beverages,Food/Beverage/Tobacco
10000232,50202300,50200000,50000000,Packaged Water,Non Alcoholic Beverages – Ready to Drink,Beverages,Food/Beverage/Tobacco
10000265,50202300,50200000,50000000,Sports Drinks – Rehydration (Ready To Drink),Non Alcoholic Beverages – Ready to Drink,Beverages,Food/Beverage/Tobacco
10000266,50202300,50200000,50000000,Stimulants/Energy Drinks – Ready to Drink,Non Alcoholic Beverages – Ready to Drink,Beverages,Food/Beverage/Tobacco
10006251,50202300,50200000,50000000,Vegetable Juice – Ready to Drink (Perishable),Non Alcoholic Beverages – Ready to Drink,Beverages,Food/Beverage/Tobacco
10006252,50202300,50200000,50000000,Vegetable Juice – Ready to Drink (Shelf Stable),Non Alcoholic Beverages – Ready to Drink,Beverages,Food/Beverage/Tobacco
10006255,50202300,50200000,50000000,Vegetable Juice Drinks – Ready to Drink (Perishable),Non Alcoholic Beverages – Ready to Drink,Beverages,Food/Beverage/Tobacco
10006256,50202300,50200000,50000000,Vegetable Juice Drinks – Ready to Drink (Shelf Stable),Non Alcoholic Beverages – Ready to Drink,Beverages,Food/Beverage/Tobacco
10000155,50181700,50180000,50000000,Baking/Cooking Mixes (Frozen),Baking/Cooking Mixes/Supplies,Bread/Bakery Products,Food/Beverage/Tobacco
10000068,50181700,50180000,50000000,Baking/Cooking Mixes (Perishable),Baking/Cooking Mixes/Supplies,Bread/Bakery Products,Food/Beverage/Tobacco
10000156,50181700,50180000,50000000,Baking/Cooking Mixes (Shelf Stable),Baking/Cooking Mixes/Supplies,Bread/Bakery Products,Food/Beverage/Tobacco
10000595,50181700,50180000,50000000,Baking/Cooking Mixes/Supplies Variety Packs,Baking/Cooking Mixes/Supplies,Bread/Bakery Products,Food/Beverage/Tobacco
10000157,50181700,50180000,50000000,Baking/Cooking Supplies (Frozen),Baking/Cooking Mixes/Supplies,Bread/Bakery Products,Food/Beverage/Tobacco
10000069,50181700,50180000,50000000,Baking/Cooking Supplies (Perishable),Baking/Cooking Mixes/Supplies,Bread/Bakery Products,Food/Beverage/Tobacco
10000158,50181700,50180000,50000000,Baking/Cooking Supplies (Shelf Stable),Baking/Cooking Mixes/Supplies,Bread/Bakery Products,Food/Beverage/Tobacco
10000304,50182100,50180000,50000000,Biscuits/Cookies (Frozen),Biscuits/Cookies,Bread/Bakery Products,Food/Beverage/Tobacco
10000160,50182100,50180000,50000000,Biscuits/Cookies (Perishable),Biscuits/Cookies,Bread/Bakery Products,Food/Beverage/Tobacco
10000161,50182100,50180000,50000000,Biscuits/Cookies (Shelf Stable),Biscuits/Cookies,Bread/Bakery Products,Food/Beverage/Tobacco
10000596,50182100,50180000,50000000,Biscuits/Cookies Variety Packs,Biscuits/Cookies,Bread/Bakery Products,Food/Beverage/Tobacco
10000305,50182100,50180000,50000000,Dried Breads (Frozen),Biscuits/Cookies,Bread/Bakery Products,Food/Beverage/Tobacco
10000166,50182100,50180000,50000000,Dried Breads (Shelf Stable),Biscuits/Cookies,Bread/Bakery Products,Food/Beverage/Tobacco
10000163,50181900,50180000,50000000,Bread (Frozen),Bread,Bread/Bakery Products,Food/Beverage/Tobacco
10000164,50181900,50180000,50000000,Bread (Perishable),Bread,Bread/Bakery Products,Food/Beverage/Tobacco
10000165,50181900,50180000,50000000,Bread (Shelf Stable),Bread,Bread/Bakery Products,Food/Beverage/Tobacco
10000598,50182300,50180000,50000000,Bread/Bakery Products Variety Packs,Bread/Bakery Products Variety Packs,Bread/Bakery Products,Food/Beverage/Tobacco
10000248,50182200,50180000,50000000,Pies/Pastries/Pizzas/Quiches – Savoury (Frozen),Savoury Bakery Products,Bread/Bakery Products,Food/Beverage/Tobacco
10000249,50182200,50180000,50000000,Pies/Pastries/Pizzas/Quiches – Savoury (Perishable),Savoury Bakery Products,Bread/Bakery Products,Food/Beverage/Tobacco
10000250,50182200,50180000,50000000,Pies/Pastries/Pizzas/Quiches – Savoury (Shelf Stable),Savoury Bakery Products,Bread/Bakery Products,Food/Beverage/Tobacco
10000170,50182000,50180000,50000000,Cakes – Sweet (Frozen),Sweet Bakery Products,Bread/Bakery Products,Food/Beverage/Tobacco
10000171,50182000,50180000,50000000,Cakes – Sweet (Perishable),Sweet Bakery Products,Bread/Bakery Products,Food/Beverage/Tobacco
10000172,50182000,50180000,50000000,Cakes – Sweet (Shelf Stable),Sweet Bakery Products,Bread/Bakery Products,Food/Beverage/Tobacco
10000245,50182000,50180000,50000000,Pies/Pastries – Sweet (Frozen),Sweet Bakery Products,Bread/Bakery Products,Food/Beverage/Tobacco
10000246,50182000,50180000,50000000,Pies/Pastries – Sweet (Perishable),Sweet Bakery Products,Bread/Bakery Products,Food/Beverage/Tobacco
10000247,50182000,50180000,50000000,Pies/Pastries – Sweet (Shelf Stable),Sweet Bakery Products,Bread/Bakery Products,Food/Beverage/Tobacco
10000597,50182000,50180000,50000000,Sweet Bakery Products Variety Packs,Sweet Bakery Products,Bread/Bakery Products,Food/Beverage/Tobacco
10000601,50221300,50220000,50000000,Cereal/Grain/Pulse Products Variety Packs,Cereal/Grain/Pulse Products Variety Packs,Cereal/Grain/Pulse Products,Food/Beverage/Tobacco
10000203,50221000,50220000,50000000,Flour – Cereal/Pulse (Shelf Stable),Grains/Flour,Cereal/Grain/Pulse Products,Food/Beverage/Tobacco
10000314,50221000,50220000,50000000,Grains/Cereal – Not Ready to Eat – (Frozen),Grains/Flour,Cereal/Grain/Pulse Products,Food/Beverage/Tobacco
10000315,50221000,50220000,50000000,Grains/Cereal – Not Ready to Eat – (Perishable),Grains/Flour,Cereal/Grain/Pulse Products,Food/Beverage/Tobacco
10000211,50221000,50220000,50000000,Grains/Cereal – Not Ready to Eat – (Shelf Stable),Grains/Flour,Cereal/Grain/Pulse Products,Food/Beverage/Tobacco
10000316,50221000,50220000,50000000,Grains/Cereal – Ready to Eat – (Perishable),Grains/Flour,Cereal/Grain/Pulse Products,Food/Beverage/Tobacco
10000319,50221000,50220000,50000000,Grains/Cereal – Ready to Eat – (Shelf Stable),Grains/Flour,Cereal/Grain/Pulse Products,Food/Beverage/Tobacco
10000599,50221000,50220000,50000000,Grains/Flour Variety Packs,Grains/Flour,Cereal/Grain/Pulse Products,Food/Beverage/Tobacco
10000286,50221200,50220000,50000000,Cereal Products – Ready to Eat (Perishable),Processed Cereal Products,Cereal/Grain/Pulse Products,Food/Beverage/Tobacco
10000287,50221200,50220000,50000000,Cereal/Muesli Bars,Processed Cereal Products,Cereal/Grain/Pulse Products,Food/Beverage/Tobacco
10006250,50221200,50220000,50000000,Cereals Products – Not Ready to Eat (Frozen),Processed Cereal Products,Cereal/Grain/Pulse Products,Food/Beverage/Tobacco
10000285,50221200,50220000,50000000,Cereals Products – Not Ready to Eat (Shelf Stable),Processed Cereal Products,Cereal/Grain/Pulse Products,Food/Beverage/Tobacco
10000284,50221200,50220000,50000000,Cereals Products – Ready to Eat (Shelf Stable),Processed Cereal Products,Cereal/Grain/Pulse Products,Food/Beverage/Tobacco
10000600,50221200,50220000,50000000,Processed Cereal Products Variety Packs,Processed Cereal Products,Cereal/Grain/Pulse Products,Food/Beverage/Tobacco
10008059,50221200,50220000,50000000,Protein Bars,Processed Cereal Products,Cereal/Grain/Pulse Products,Food/Beverage/Tobacco
10006390,50161800,50160000,50000000,Chewing Gum,Confectionery Products,Confectionery/Sugar Sweetening Products,Food/Beverage/Tobacco
10000045,50161800,50160000,50000000,Chocolate and Chocolate/Sugar Candy Combinations – Confectionery,Confectionery Products,Confectionery/Sugar Sweetening Products,Food/Beverage/Tobacco
10000602,50161800,50160000,50000000,Confectionery Products Variety Packs,Confectionery Products,Confectionery/Sugar Sweetening Products,Food/Beverage/Tobacco
10000047,50161800,50160000,50000000,Sugar Candy/Sugar Candy Substitutes Confectionery,Confectionery Products,Confectionery/Sugar Sweetening Products,Food/Beverage/Tobacco
10000622,50161900,50160000,50000000,Confectionery/Sugar Sweetening Products Variety Packs,Confectionery/Sugar Sweetening Products Variety Packs,Confectionery/Sugar Sweetening Products,Food/Beverage/Tobacco
10000043,50161500,50160000,50000000,Sugar/Sugar Substitutes (Shelf Stable),Sugars/Sugar Substitute Products,Confectionery/Sugar Sweetening Products,Food/Beverage/Tobacco
10000603,50161500,50160000,50000000,Sugars/Sugar Substitute Products Variety Packs,Sugars/Sugar Substitute Products,Confectionery/Sugar Sweetening Products,Food/Beverage/Tobacco
10000044,50161500,50160000,50000000,Syrup/Treacle/Molasses (Shelf Stable),Sugars/Sugar Substitute Products,Confectionery/Sugar Sweetening Products,Food/Beverage/Tobacco
10000590,50230100,50230000,50000000,Food/Beverage/Tobacco Variety Packs,Food/Beverage/Tobacco Variety Packs,Food/Beverage/Tobacco Variety Packs,Food/Beverage/Tobacco
10008058,50230100,50230000,50000000,Military - Rations,Food/Beverage/Tobacco Variety Packs,Food/Beverage/Tobacco Variety Packs,Food/Beverage/Tobacco
10008039,50360100,50360000,50000000,Banana Leaves (food garnish),Fresh Garnish (Food),Fresh Garnish (Food),Food/Beverage/Tobacco
10008040,50360100,50360000,50000000,Cactus Leaves (food garnish),Fresh Garnish (Food),Fresh Garnish (Food),Food/Beverage/Tobacco
10008041,50360100,50360000,50000000,Orange Blossom (food garnish),Fresh Garnish (Food),Fresh Garnish (Food),Food/Beverage/Tobacco
10006433,50251300,50250000,50000000,Annona Other,Annona,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10005941,50251300,50250000,50000000,Bullock Hearts,Annona,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10005939,50251300,50250000,50000000,Cherimoya,Annona,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10005942,50251300,50250000,50000000,Soursop,Annona,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10005940,50251300,50250000,50000000,Sugar Apples,Annona,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10006168,50251400,50250000,50000000,Avocados – Pebbled Peel (Hass-Type),Avocados,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10006169,50251400,50250000,50000000,Avocados – Smooth Peel,Avocados,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10006167,50251400,50250000,50000000,Finger Avocados,Avocados,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10005895,50250700,50250000,50000000,Apple Bananas,Bananas,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10005896,50250700,50250000,50000000,Baby Bananas,Bananas,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10005897,50250700,50250000,50000000,Bananas,Bananas,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10005898,50250700,50250000,50000000,Plantain Bananas,Bananas,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10005899,50250700,50250000,50000000,Red Bananas,Bananas,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10006759,50251000,50250000,50000000,Acai Berries,Berries/Small Fruit,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10005928,50251000,50250000,50000000,Bilberries,Berries/Small Fruit,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10006194,50251000,50250000,50000000,Black Currants,Berries/Small Fruit,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10005923,50251000,50250000,50000000,Blackberries,Berries/Small Fruit,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10005929,50251000,50250000,50000000,Blueberries,Berries/Small Fruit,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10005924,50251000,50250000,50000000,Boysenberries,Berries/Small Fruit,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10005925,50251000,50250000,50000000,Cloudberries,Berries/Small Fruit,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10005930,50251000,50250000,50000000,Cranberries,Berries/Small Fruit,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10006432,50251000,50250000,50000000,Elderberries,Berries/Small Fruit,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10006832,50251000,50250000,50000000,Five-Flavor Berries,Berries/Small Fruit,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10006429,50251000,50250000,50000000,Goji Berries,Berries/Small Fruit,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10005932,50251000,50250000,50000000,Gooseberries,Berries/Small Fruit,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10006430,50251000,50250000,50000000,Hybrids of Berries,Berries/Small Fruit,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10005934,50251000,50250000,50000000,Jostaberries,Berries/Small Fruit,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10006431,50251000,50250000,50000000,Lingonberries,Berries/Small Fruit,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10006346,50251000,50250000,50000000,Loganberries,Berries/Small Fruit,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10006347,50251000,50250000,50000000,Madrona,Berries/Small Fruit,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10005927,50251000,50250000,50000000,Raspberries,Berries/Small Fruit,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10006193,50251000,50250000,50000000,Red Currants,Berries/Small Fruit,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10006354,50251000,50250000,50000000,Saskatoon Berries,Berries/Small Fruit,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10008027,50251000,50250000,50000000,Small Fruit Variety Packs,Berries/Small Fruit,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10005921,50251000,50250000,50000000,Strawberries,Berries/Small Fruit,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10005918,50251000,50250000,50000000,Table Grapes,Berries/Small Fruit,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10005922,50251000,50250000,50000000,Wood Strawberries,Berries/Small Fruit,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10006866,50250600,50250000,50000000,Citron,Citrus,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10005886,50250600,50250000,50000000,Clementines,Citrus,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10005876,50250600,50250000,50000000,Grapefruits,Citrus,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10005878,50250600,50250000,50000000,Honey Pomelos,Citrus,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10006438,50250600,50250000,50000000,Indian Limes,Citrus,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10006439,50250600,50250000,50000000,King Mandarins,Citrus,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10006345,50250600,50250000,50000000,Kumquat,Citrus,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10005882,50250600,50250000,50000000,Lemons,Citrus,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10005885,50250600,50250000,50000000,Limequats,Citrus,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10005884,50250600,50250000,50000000,Limes,Citrus,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10006441,50250600,50250000,50000000,Mandarin Hybrids,Citrus,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10006440,50250600,50250000,50000000,Mediterranean (Willowleaf) Mandarins,Citrus,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10005883,50250600,50250000,50000000,Mexican Limes,Citrus,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10005880,50250600,50250000,50000000,Minneolas and other Tangelos,Citrus,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10006343,50250600,50250000,50000000,Orangelos,Citrus,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10005889,50250600,50250000,50000000,Oranges,Citrus,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10005877,50250600,50250000,50000000,Pummelos,Citrus,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10005887,50250600,50250000,50000000,Satsuma Mandarins,Citrus,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10005879,50250600,50250000,50000000,Sweeties,Citrus,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10005888,50250600,50250000,50000000,Tangerines,Citrus,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10006442,50250600,50250000,50000000,Tangor,Citrus,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10005881,50250600,50250000,50000000,Ugli,Citrus,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10006172,50252000,50250000,50000000,Fruits – Unprepared/Unprocessed (Fresh) Variety Packs,Fruits – Unprepared/Unprocessed (Fresh) Variety Packs,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10005938,50251200,50250000,50000000,Kiwiberries,Kiwifruits,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10005937,50251200,50250000,50000000,Kiwifruits,Kiwifruits,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10005963,50251900,50250000,50000000,Bilimbi,Miscellaneous Fruit,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10005973,50251900,50250000,50000000,Breadfruits,Miscellaneous Fruit,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
10005965,50251900,50250000,50000000,Cape Gooseberries,Miscellaneous Fruit,Fruits – Unprepared/Unprocessed (Fresh),Food/Beverage/Tobacco
